# Does the new Very Hard champion transfer DOWN the ladder? flame-close6
# (adopted at VH 2026-09-02, laws six and nine) vs flame-nocover at
# IMPOSSIBLE, paired on 48 fresh seeds (20001-24891, disjoint from all
# seeds ever used). Wins are expected near zero on both arms (the standing
# Impossible record is 0/~120, survival floor ~3300); the margin is the
# triage signal, and any win at all is news.
#
# label | seed | doctrine | samples
control|20001|doctrines/flame-nocover.doctrine|10000
control|20105|doctrines/flame-nocover.doctrine|10000
control|20209|doctrines/flame-nocover.doctrine|10000
control|20313|doctrines/flame-nocover.doctrine|10000
control|20417|doctrines/flame-nocover.doctrine|10000
control|20521|doctrines/flame-nocover.doctrine|10000
control|20625|doctrines/flame-nocover.doctrine|10000
control|20729|doctrines/flame-nocover.doctrine|10000
control|20833|doctrines/flame-nocover.doctrine|10000
control|20937|doctrines/flame-nocover.doctrine|10000
control|21041|doctrines/flame-nocover.doctrine|10000
control|21145|doctrines/flame-nocover.doctrine|10000
control|21249|doctrines/flame-nocover.doctrine|10000
control|21353|doctrines/flame-nocover.doctrine|10000
control|21457|doctrines/flame-nocover.doctrine|10000
control|21561|doctrines/flame-nocover.doctrine|10000
control|21665|doctrines/flame-nocover.doctrine|10000
control|21769|doctrines/flame-nocover.doctrine|10000
control|21873|doctrines/flame-nocover.doctrine|10000
control|21977|doctrines/flame-nocover.doctrine|10000
control|22081|doctrines/flame-nocover.doctrine|10000
control|22185|doctrines/flame-nocover.doctrine|10000
control|22289|doctrines/flame-nocover.doctrine|10000
control|22393|doctrines/flame-nocover.doctrine|10000
control|22497|doctrines/flame-nocover.doctrine|10000
control|22601|doctrines/flame-nocover.doctrine|10000
control|22705|doctrines/flame-nocover.doctrine|10000
control|22809|doctrines/flame-nocover.doctrine|10000
control|22913|doctrines/flame-nocover.doctrine|10000
control|23017|doctrines/flame-nocover.doctrine|10000
control|23121|doctrines/flame-nocover.doctrine|10000
control|23225|doctrines/flame-nocover.doctrine|10000
control|23329|doctrines/flame-nocover.doctrine|10000
control|23433|doctrines/flame-nocover.doctrine|10000
control|23537|doctrines/flame-nocover.doctrine|10000
control|23641|doctrines/flame-nocover.doctrine|10000
control|23745|doctrines/flame-nocover.doctrine|10000
control|23849|doctrines/flame-nocover.doctrine|10000
control|23953|doctrines/flame-nocover.doctrine|10000
control|24057|doctrines/flame-nocover.doctrine|10000
control|24161|doctrines/flame-nocover.doctrine|10000
control|24265|doctrines/flame-nocover.doctrine|10000
control|24369|doctrines/flame-nocover.doctrine|10000
control|24473|doctrines/flame-nocover.doctrine|10000
control|24577|doctrines/flame-nocover.doctrine|10000
control|24683|doctrines/flame-nocover.doctrine|10000
control|24787|doctrines/flame-nocover.doctrine|10000
control|24891|doctrines/flame-nocover.doctrine|10000
close6|20001|doctrines/flame-close6.doctrine|10000
close6|20105|doctrines/flame-close6.doctrine|10000
close6|20209|doctrines/flame-close6.doctrine|10000
close6|20313|doctrines/flame-close6.doctrine|10000
close6|20417|doctrines/flame-close6.doctrine|10000
close6|20521|doctrines/flame-close6.doctrine|10000
close6|20625|doctrines/flame-close6.doctrine|10000
close6|20729|doctrines/flame-close6.doctrine|10000
close6|20833|doctrines/flame-close6.doctrine|10000
close6|20937|doctrines/flame-close6.doctrine|10000
close6|21041|doctrines/flame-close6.doctrine|10000
close6|21145|doctrines/flame-close6.doctrine|10000
close6|21249|doctrines/flame-close6.doctrine|10000
close6|21353|doctrines/flame-close6.doctrine|10000
close6|21457|doctrines/flame-close6.doctrine|10000
close6|21561|doctrines/flame-close6.doctrine|10000
close6|21665|doctrines/flame-close6.doctrine|10000
close6|21769|doctrines/flame-close6.doctrine|10000
close6|21873|doctrines/flame-close6.doctrine|10000
close6|21977|doctrines/flame-close6.doctrine|10000
close6|22081|doctrines/flame-close6.doctrine|10000
close6|22185|doctrines/flame-close6.doctrine|10000
close6|22289|doctrines/flame-close6.doctrine|10000
close6|22393|doctrines/flame-close6.doctrine|10000
close6|22497|doctrines/flame-close6.doctrine|10000
close6|22601|doctrines/flame-close6.doctrine|10000
close6|22705|doctrines/flame-close6.doctrine|10000
close6|22809|doctrines/flame-close6.doctrine|10000
close6|22913|doctrines/flame-close6.doctrine|10000
close6|23017|doctrines/flame-close6.doctrine|10000
close6|23121|doctrines/flame-close6.doctrine|10000
close6|23225|doctrines/flame-close6.doctrine|10000
close6|23329|doctrines/flame-close6.doctrine|10000
close6|23433|doctrines/flame-close6.doctrine|10000
close6|23537|doctrines/flame-close6.doctrine|10000
close6|23641|doctrines/flame-close6.doctrine|10000
close6|23745|doctrines/flame-close6.doctrine|10000
close6|23849|doctrines/flame-close6.doctrine|10000
close6|23953|doctrines/flame-close6.doctrine|10000
close6|24057|doctrines/flame-close6.doctrine|10000
close6|24161|doctrines/flame-close6.doctrine|10000
close6|24265|doctrines/flame-close6.doctrine|10000
close6|24369|doctrines/flame-close6.doctrine|10000
close6|24473|doctrines/flame-close6.doctrine|10000
close6|24577|doctrines/flame-close6.doctrine|10000
close6|24683|doctrines/flame-close6.doctrine|10000
close6|24787|doctrines/flame-close6.doctrine|10000
close6|24891|doctrines/flame-close6.doctrine|10000
